TIPO_UNIVERSIDAD;MODALIDAD;UNIVERSIDAD;RAMA_ENSEÑANZA;EGR_C16_17;EGR_C15_16;EGR_C14_15;EGR_C13_14;EGR_C12_13;EGR_C11_12;EGR_C10_11;EGR_C09_10
Universidades Públicas;Presencial;A Coruña;Ciencias Sociales y Jurídicas;1567;1669;1662;1915;1712;1434;1629;1566
Universidades Públicas;Presencial;A Coruña;Ingeniería y Arquitectura;886;1187;1349;1179;1233;1278;1151;1224
Universidades Públicas;Presencial;A Coruña;Artes y Humanidades;77;87;109;100;86;113;91;98
Universidades Públicas;Presencial;A Coruña;Ciencias de la Salud;348;379;373;368;355;296;413;371
Universidades Públicas;Presencial;A Coruña;Ciencias;166;193;148;132;166;125;116;127
Universidades Públicas;Presencial;Alcalá;Ciencias Sociales y Jurídicas;1722;1656;1669;1868;1580;2303;2432;1968
Universidades Públicas;Presencial;Alcalá;Ingeniería y Arquitectura;711;704;958;918;874;861;792;907
Universidades Públicas;Presencial;Alcalá;Artes y Humanidades;429;404;379;371;353;307;325;278
Universidades Públicas;Presencial;Alcalá;Ciencias de la Salud;708;800;808;691;647;425;601;539
Universidades Públicas;Presencial;Alcalá;Ciencias;343;320;377;420;505;414;367;356
Universidades Públicas;Presencial;Alicante;Ciencias Sociales y Jurídicas;2909;3052;3162;2849;2656;3087;2798;2436
Universidades Públicas;Presencial;Alicante;Ingeniería y Arquitectura;739;825;994;917;1130;1077;977;651
Universidades Públicas;Presencial;Alicante;Artes y Humanidades;629;598;635;692;601;554;537;446
Universidades Públicas;Presencial;Alicante;Ciencias de la Salud;355;357;308;374;150;365;311;280
Universidades Públicas;Presencial;Alicante;Ciencias;342;342;407;344;325;361;383;297
Universidades Públicas;Presencial;Almería;Ciencias Sociales y Jurídicas;1632;1824;1803;1823;1351;1797;1709;1576
Universidades Públicas;Presencial;Almería;Ingeniería y Arquitectura;302;232;243;217;258;283;291;238
Universidades Públicas;Presencial;Almería;Artes y Humanidades;160;178;135;137;138;116;106;66
Universidades Públicas;Presencial;Almería;Ciencias de la Salud;409;470;386;365;266;148;302;255
Universidades Públicas;Presencial;Almería;Ciencias;85;102;110;81;75;96;104;75
Universidades Públicas;Presencial;Autónoma de Barcelona;Ciencias Sociales y Jurídicas;3550;3506;3707;3616;3181;3225;3388;3119
Universidades Públicas;Presencial;Autónoma de Barcelona;Ingeniería y Arquitectura;479;527;497;471;534;520;504;557
Universidades Públicas;Presencial;Autónoma de Barcelona;Artes y Humanidades;1232;1172;1234;1175;1137;1083;954;877
Universidades Públicas;Presencial;Autónoma de Barcelona;Ciencias de la Salud;2164;2331;1977;1847;1559;886;1503;1245
Universidades Públicas;Presencial;Autónoma de Barcelona;Ciencias;1129;979;1069;1034;1071;1056;898;883
Universidades Públicas;Presencial;Autónoma de Madrid;Ciencias Sociales y Jurídicas;2858;2801;2912;3146;3544;3020;3663;4003
Universidades Públicas;Presencial;Autónoma de Madrid;Ingeniería y Arquitectura;310;334;272;289;309;244;237;240
Universidades Públicas;Presencial;Autónoma de Madrid;Artes y Humanidades;869;848;805;782;800;890;735;728
Universidades Públicas;Presencial;Autónoma de Madrid;Ciencias de la Salud;1187;1140;1199;936;463;583;603;670
Universidades Públicas;Presencial;Autónoma de Madrid;Ciencias;1110;1030;1052;1137;1108;1130;865;963
Universidades Públicas;Presencial;Barcelona;Ciencias Sociales y Jurídicas;5233;5127;5111;5187;5315;4459;5877;5540
Universidades Públicas;Presencial;Barcelona;Ingeniería y Arquitectura;305;263;242;208;151;146;167;204
Universidades Públicas;Presencial;Barcelona;Artes y Humanidades;1784;1631;1598;1552;1681;1766;1481;1486
Universidades Públicas;Presencial;Barcelona;Ciencias de la Salud;2605;2526;2326;2322;2218;1859;1799;1812
Universidades Públicas;Presencial;Barcelona;Ciencias;1552;1486;1385;1349;1436;1421;1170;1330
Universidades Públicas;Presencial;Burgos;Ciencias Sociales y Jurídicas;827;856;926;1038;915;1008;797;733
Universidades Públicas;Presencial;Burgos;Ingeniería y Arquitectura;334;389;423;839;753;872;629;436
Universidades Públicas;Presencial;Burgos;Artes y Humanidades;42;60;64;43;25;29;14;10
Universidades Públicas;Presencial;Burgos;Ciencias de la Salud;186;181;184;190;137;119;120;129
Universidades Públicas;Presencial;Burgos;Ciencias;42;43;54;50;46;68;63;58
Universidades Públicas;Presencial;Cádiz;Ciencias Sociales y Jurídicas;1864;1828;2000;2293;2073;2265;2559;2179
Universidades Públicas;Presencial;Cádiz;Ingeniería y Arquitectura;1158;600;557;596;533;558;487;569
Universidades Públicas;Presencial;Cádiz;Artes y Humanidades;219;212;226;242;219;169;177;187
Universidades Públicas;Presencial;Cádiz;Ciencias de la Salud;647;680;673;600;554;317;663;607
Universidades Públicas;Presencial;Cádiz;Ciencias;279;285;299;359;422;378;386;427
Universidades Públicas;Presencial;Cantabria;Ciencias Sociales y Jurídicas;913;902;787;911;780;1053;1023;983
Universidades Públicas;Presencial;Cantabria;Ingeniería y Arquitectura;605;635;689;879;924;874;848;744
Universidades Públicas;Presencial;Cantabria;Artes y Humanidades;100;97;115;116;122;108;97;62
Universidades Públicas;Presencial;Cantabria;Ciencias de la Salud;359;385;345;352;320;320;311;233
Universidades Públicas;Presencial;Cantabria;Ciencias;59;50;49;48;38;37;36;45
Universidades Públicas;Presencial;Carlos III de Madrid;Ciencias Sociales y Jurídicas;2582;2312;2114;2142;1642;2276;1561;1876
Universidades Públicas;Presencial;Carlos III de Madrid;Ingeniería y Arquitectura;1713;1403;1962;1373;1283;1238;975;783
Universidades Públicas;Presencial;Carlos III de Madrid;Artes y Humanidades;110;107;118;52;45;46;49;34
Universidades Públicas;Presencial;Carlos III de Madrid;Ciencias de la Salud;0;0;0;0;0;0;0;0
Universidades Públicas;Presencial;Carlos III de Madrid;Ciencias;1;0;0;1;1;2;7;12
Universidades Públicas;Presencial;Castilla-La Mancha;Ciencias Sociales y Jurídicas;2336;2233;2594;3580;2402;2256;3415;3303
Universidades Públicas;Presencial;Castilla-La Mancha;Ingeniería y Arquitectura;661;856;884;1032;957;1038;1117;1104
Universidades Públicas;Presencial;Castilla-La Mancha;Artes y Humanidades;358;387;365;456;378;374;368;367
Universidades Públicas;Presencial;Castilla-La Mancha;Ciencias de la Salud;802;779;679;863;472;327;758;699
Universidades Públicas;Presencial;Castilla-La Mancha;Ciencias;266;207;196;198;147;122;132;144
Universidades Públicas;Presencial;Complutense de Madrid;Ciencias Sociales y Jurídicas;7962;9022;8256;9733;8732;7708;9020;7976
Universidades Públicas;Presencial;Complutense de Madrid;Ingeniería y Arquitectura;437;410;408;514;524;524;484;447
Universidades Públicas;Presencial;Complutense de Madrid;Artes y Humanidades;2147;2067;2024;2117;2473;1808;1654;1481
Universidades Públicas;Presencial;Complutense de Madrid;Ciencias de la Salud;2677;2633;2722;2945;2467;1783;1928;1434
Universidades Públicas;Presencial;Complutense de Madrid;Ciencias;1411;1291;1227;1464;1467;1208;1356;1135
Universidades Públicas;Presencial;Córdoba;Ciencias Sociales y Jurídicas;1301;1366;1782;1790;1393;1718;1744;1591
Universidades Públicas;Presencial;Córdoba;Ingeniería y Arquitectura;541;539;844;627;654;695;506;542
Universidades Públicas;Presencial;Córdoba;Artes y Humanidades;346;359;395;354;339;238;186;215
Universidades Públicas;Presencial;Córdoba;Ciencias de la Salud;440;494;594;465;532;355;446;511
Universidades Públicas;Presencial;Córdoba;Ciencias;357;361;388;356;304;224;272;260
Universidades Públicas;Presencial;Extremadura;Ciencias Sociales y Jurídicas;2357;2318;1738;2269;2421;2128;2644;2530
Universidades Públicas;Presencial;Extremadura;Ingeniería y Arquitectura;630;632;500;792;777;1102;1257;769
Universidades Públicas;Presencial;Extremadura;Artes y Humanidades;183;223;220;195;330;218;171;182
Universidades Públicas;Presencial;Extremadura;Ciencias de la Salud;780;793;742;765;756;454;958;818
Universidades Públicas;Presencial;Extremadura;Ciencias;176;185;202;184;223;191;207;234
Universidades Públicas;Presencial;Girona;Ciencias Sociales y Jurídicas;1441;1464;1397;1149;1290;1006;1358;1239
Universidades Públicas;Presencial;Girona;Ingeniería y Arquitectura;364;378;435;434;320;411;448;415
Universidades Públicas;Presencial;Girona;Artes y Humanidades;162;215;181;172;179;112;123;108
Universidades Públicas;Presencial;Girona;Ciencias de la Salud;579;538;495;465;308;95;267;224
Universidades Públicas;Presencial;Girona;Ciencias;270;273;249;269;266;304;260;219
Universidades Públicas;Presencial;Granada;Ciencias Sociales y Jurídicas;4932;5411;5688;5890;4313;6528;5158;5328
Universidades Públicas;Presencial;Granada;Ingeniería y Arquitectura;821;1320;1331;1146;1072;1404;1034;1108
Universidades Públicas;Presencial;Granada;Artes y Humanidades;1121;1344;1434;1474;1277;1346;1079;1072
Universidades Públicas;Presencial;Granada;Ciencias de la Salud;1796;1861;1792;1615;1357;1930;1469;1410
Universidades Públicas;Presencial;Granada;Ciencias;780;984;1068;1010;907;1115;856;889
Universidades Públicas;Presencial;Huelva;Ciencias Sociales y Jurídicas;1208;1335;1319;1451;1197;1576;1477;1392
Universidades Públicas;Presencial;Huelva;Ingeniería y Arquitectura;263;232;305;326;333;407;356;411
Universidades Públicas;Presencial;Huelva;Artes y Humanidades;106;115;104;167;121;123;83;106
Universidades Públicas;Presencial;Huelva;Ciencias de la Salud;358;386;299;280;194;99;182;224
Universidades Públicas;Presencial;Huelva;Ciencias;70;58;66;90;98;70;63;101
Universidades Públicas;Presencial;Illes Balears (Les);Ciencias Sociales y Jurídicas;1420;1582;1469;1565;1665;1400;1734;1454
Universidades Públicas;Presencial;Illes Balears (Les);Ingeniería y Arquitectura;198;112;252;332;251;236;308;244
Universidades Públicas;Presencial;Illes Balears (Les);Artes y Humanidades;168;171;173;187;219;172;139;144
Universidades Públicas;Presencial;Illes Balears (Les);Ciencias de la Salud;370;387;330;330;262;136;313;242
Universidades Públicas;Presencial;Illes Balears (Les);Ciencias;228;237;205;254;256;180;210;200
Universidades Públicas;Presencial;Jaén;Ciencias Sociales y Jurídicas;1697;1777;1805;1897;1562;2003;1821;1695
Universidades Públicas;Presencial;Jaén;Ingeniería y Arquitectura;430;438;691;648;644;636;515;578
Universidades Públicas;Presencial;Jaén;Artes y Humanidades;268;280;230;199;281;179;136;136
Universidades Públicas;Presencial;Jaén;Ciencias de la Salud;559;533;476;463;368;166;327;321
Universidades Públicas;Presencial;Jaén;Ciencias;170;167;122;145;164;192;161;103
Universidades Públicas;Presencial;Jaume I de Castellón;Ciencias Sociales y Jurídicas;1296;1365;1376;1499;1576;1342;1143;1231
Universidades Públicas;Presencial;Jaume I de Castellón;Ingeniería y Arquitectura;360;428;381;535;440;502;367;530
Universidades Públicas;Presencial;Jaume I de Castellón;Artes y Humanidades;254;278;294;307;367;213;169;149
Universidades Públicas;Presencial;Jaume I de Castellón;Ciencias de la Salud;333;203;278;216;110;36;37;16
Universidades Públicas;Presencial;Jaume I de Castellón;Ciencias;94;92;89;116;122;115;131;79
Universidades Públicas;Presencial;La Laguna;Ciencias Sociales y Jurídicas;1588;1847;1859;1874;1733;2075;1718;1659
Universidades Públicas;Presencial;La Laguna;Ingeniería y Arquitectura;436;495;515;594;623;752;645;532
Universidades Públicas;Presencial;La Laguna;Artes y Humanidades;303;305;305;264;274;228;246;200
Universidades Públicas;Presencial;La Laguna;Ciencias de la Salud;772;830;773;680;511;325;536;494
Universidades Públicas;Presencial;La Laguna;Ciencias;246;236;289;203;215;229;199;187
Universidades Públicas;Presencial;La Rioja;Ciencias Sociales y Jurídicas;522;508;508;500;432;448;658;656
Universidades Públicas;Presencial;La Rioja;Ingeniería y Arquitectura;153;168;118;253;268;246;169;186
Universidades Públicas;Presencial;La Rioja;Artes y Humanidades;87;170;195;216;149;120;160;129
Universidades Públicas;Presencial;La Rioja;Ciencias de la Salud;65;73;68;57;16;74;75;70
Universidades Públicas;Presencial;La Rioja;Ciencias;56;79;56;67;53;59;73;72
Universidades Públicas;Presencial;Las Palmas de Gran Canaria;Ciencias Sociales y Jurídicas;1664;1730;1703;1760;1459;1728;856;1093
Universidades Públicas;Presencial;Las Palmas de Gran Canaria;Ingeniería y Arquitectura;550;411;420;368;364;419;580;537
Universidades Públicas;Presencial;Las Palmas de Gran Canaria;Artes y Humanidades;329;286;229;224;247;189;155;164
Universidades Públicas;Presencial;Las Palmas de Gran Canaria;Ciencias de la Salud;522;519;526;486;414;401;478;209
Universidades Públicas;Presencial;Las Palmas de Gran Canaria;Ciencias;62;53;45;67;51;66;29;28
Universidades Públicas;Presencial;León;Ciencias Sociales y Jurídicas;1062;1002;1116;1520;1391;1460;1116;1010
Universidades Públicas;Presencial;León;Ingeniería y Arquitectura;597;1213;2576;2560;2656;1610;531;574
Universidades Públicas;Presencial;León;Artes y Humanidades;135;107;125;119;116;75;82;71
Universidades Públicas;Presencial;León;Ciencias de la Salud;470;399;433;679;752;1418;1166;360
Universidades Públicas;Presencial;León;Ciencias;194;197;239;236;349;254;220;217
Universidades Públicas;Presencial;Lleida;Ciencias Sociales y Jurídicas;1056;814;749;656;821;846;1117;816
Universidades Públicas;Presencial;Lleida;Ingeniería y Arquitectura;241;265;249;424;491;474;461;345
Universidades Públicas;Presencial;Lleida;Artes y Humanidades;161;161;158;144;103;88;43;78
Universidades Públicas;Presencial;Lleida;Ciencias de la Salud;528;513;505;516;395;215;221;207
Universidades Públicas;Presencial;Lleida;Ciencias;72;60;57;53;77;100;93;111
Universidades Públicas;Presencial;Málaga;Ciencias Sociales y Jurídicas;3729;3346;3871;2462;3031;4058;3693;3579
Universidades Públicas;Presencial;Málaga;Ingeniería y Arquitectura;1029;831;771;433;576;835;858;883
Universidades Públicas;Presencial;Málaga;Artes y Humanidades;661;593;503;338;465;401;484;386
Universidades Públicas;Presencial;Málaga;Ciencias de la Salud;967;976;971;636;590;399;765;822
Universidades Públicas;Presencial;Málaga;Ciencias;363;273;308;232;216;250;266;199
Universidades Públicas;Presencial;Miguel Hernández de Elche;Ciencias Sociales y Jurídicas;1055;1163;1268;1478;1268;1323;1216;998
Universidades Públicas;Presencial;Miguel Hernández de Elche;Ingeniería y Arquitectura;625;368;758;515;384;428;319;326
Universidades Públicas;Presencial;Miguel Hernández de Elche;Artes y Humanidades;45;77;124;203;122;127;104;98
Universidades Públicas;Presencial;Miguel Hernández de Elche;Ciencias de la Salud;1249;1250;1102;1014;520;817;679;555
Universidades Públicas;Presencial;Miguel Hernández de Elche;Ciencias;142;134;122;131;49;103;90;93
Universidades Públicas;Presencial;Murcia;Ciencias Sociales y Jurídicas;2934;2987;3213;3391;3844;3155;4084;3799
Universidades Públicas;Presencial;Murcia;Ingeniería y Arquitectura;109;96;109;116;189;176;220;276
Universidades Públicas;Presencial;Murcia;Artes y Humanidades;776;701;741;787;904;594;509;429
Universidades Públicas;Presencial;Murcia;Ciencias de la Salud;1411;1494;1476;1426;1177;973;1193;1021
Universidades Públicas;Presencial;Murcia;Ciencias;485;409;457;487;409;337;362;466
Universidades Públicas;Presencial;Oviedo;Ciencias Sociales y Jurídicas;1504;1618;1701;2011;1941;2650;2248;2185
Universidades Públicas;Presencial;Oviedo;Ingeniería y Arquitectura;976;1357;1292;1194;1332;1265;1265;1298
Universidades Públicas;Presencial;Oviedo;Artes y Humanidades;300;346;371;381;295;242;235;260
Universidades Públicas;Presencial;Oviedo;Ciencias de la Salud;680;663;570;535;605;510;651;473
Universidades Públicas;Presencial;Oviedo;Ciencias;321;299;361;418;415;292;282;305
Universidades Públicas;Presencial;Pablo de Olavide;Ciencias Sociales y Jurídicas;1081;1401;1242;1590;1758;1670;1937;436
Universidades Públicas;Presencial;Pablo de Olavide;Ingeniería y Arquitectura;20;12;17;14;25;37;34;0
Universidades Públicas;Presencial;Pablo de Olavide;Artes y Humanidades;236;376;288;282;336;269;191;127
Universidades Públicas;Presencial;Pablo de Olavide;Ciencias de la Salud;73;94;100;103;101;65;20;23
Universidades Públicas;Presencial;Pablo de Olavide;Ciencias;170;232;264;276;349;217;217;80
Universidades Públicas;Presencial;País Vasco/Euskal Herriko Unibertsitatea;Ciencias Sociales y Jurídicas;3385;3385;3650;4062;3367;4455;4394;4023
Universidades Públicas;Presencial;País Vasco/Euskal Herriko Unibertsitatea;Ingeniería y Arquitectura;1909;2582;2150;2690;2219;2081;2224;2190
Universidades Públicas;Presencial;País Vasco/Euskal Herriko Unibertsitatea;Artes y Humanidades;711;710;870;767;858;688;673;582
Universidades Públicas;Presencial;País Vasco/Euskal Herriko Unibertsitatea;Ciencias de la Salud;1348;1335;1306;1143;972;747;880;828
Universidades Públicas;Presencial;País Vasco/Euskal Herriko Unibertsitatea;Ciencias;623;670;650;603;539;674;544;592
Universidades Públicas;Presencial;Politécnica de Cartagena;Ciencias Sociales y Jurídicas;125;131;120;131;209;221;160;186
Universidades Públicas;Presencial;Politécnica de Cartagena;Ingeniería y Arquitectura;608;658;620;793;945;783;513;838
Universidades Públicas;Presencial;Politécnica de Cartagena;Artes y Humanidades;0;0;1;0;0;0;0;0
Universidades Públicas;Presencial;Politécnica de Cartagena;Ciencias de la Salud;0;0;0;0;0;0;0;0
Universidades Públicas;Presencial;Politécnica de Cartagena;Ciencias;0;2;0;0;0;0;0;0
Universidades Públicas;Presencial;Politécnica de Catalunya;Ciencias Sociales y Jurídicas;425;322;244;239;250;255;230;143
Universidades Públicas;Presencial;Politécnica de Catalunya;Ingeniería y Arquitectura;5244;5731;5673;4296;4276;4396;4444;4291
Universidades Públicas;Presencial;Politécnica de Catalunya;Artes y Humanidades;0;0;0;0;0;0;0;0
Universidades Públicas;Presencial;Politécnica de Catalunya;Ciencias de la Salud;79;76;91;54;27;0;0;0
Universidades Públicas;Presencial;Politécnica de Catalunya;Ciencias;70;55;78;87;92;142;180;182
Universidades Públicas;Presencial;Politécnica de Madrid;Ciencias Sociales y Jurídicas;351;273;260;260;332;228;198;159
Universidades Públicas;Presencial;Politécnica de Madrid;Ingeniería y Arquitectura;7053;5656;5672;4732;4756;4516;4781;4130
Universidades Públicas;Presencial;Politécnica de Madrid;Artes y Humanidades;1;0;0;0;0;0;0;0
Universidades Públicas;Presencial;Politécnica de Madrid;Ciencias de la Salud;21;37;23;11;0;0;2;19
Universidades Públicas;Presencial;Politécnica de Madrid;Ciencias;12;22;12;28;32;53;23;37
Universidades Públicas;Presencial;Politècnica de València;Ciencias Sociales y Jurídicas;496;551;590;694;557;346;500;464
Universidades Públicas;Presencial;Politècnica de València;Ingeniería y Arquitectura;3935;3808;4527;4594;4377;3025;4884;3665
Universidades Públicas;Presencial;Politècnica de València;Artes y Humanidades;545;548;590;880;536;542;481;462
Universidades Públicas;Presencial;Politècnica de València;Ciencias de la Salud;36;43;44;37;69;27;27;0
Universidades Públicas;Presencial;Politècnica de València;Ciencias;308;360;352;402;314;208;239;296
Universidades Públicas;Presencial;Pompeu Fabra;Ciencias Sociales y Jurídicas;3175;3085;2527;2472;2091;1930;1839;1617
Universidades Públicas;Presencial;Pompeu Fabra;Ingeniería y Arquitectura;402;339;327;353;176;140;116;234
Universidades Públicas;Presencial;Pompeu Fabra;Artes y Humanidades;412;431;433;389;527;554;494;410
Universidades Públicas;Presencial;Pompeu Fabra;Ciencias de la Salud;482;450;387;303;201;240;178;226
Universidades Públicas;Presencial;Pompeu Fabra;Ciencias;19;16;0;0;1;52;60;55
Universidades Públicas;Presencial;Pública de Navarra;Ciencias Sociales y Jurídicas;841;860;966;977;810;787;916;891
Universidades Públicas;Presencial;Pública de Navarra;Ingeniería y Arquitectura;558;667;617;621;533;571;543;568
Universidades Públicas;Presencial;Pública de Navarra;Artes y Humanidades;0;0;0;0;0;0;0;4
Universidades Públicas;Presencial;Pública de Navarra;Ciencias de la Salud;191;196;204;170;68;201;210;170
Universidades Públicas;Presencial;Pública de Navarra;Ciencias;8;6;12;29;19;28;30;39
Universidades Públicas;Presencial;Rey Juan Carlos;Ciencias Sociales y Jurídicas;7244;4966;4479;4461;3849;3093;3130;2145
Universidades Públicas;Presencial;Rey Juan Carlos;Ingeniería y Arquitectura;669;472;443;420;465;355;326;337
Universidades Públicas;Presencial;Rey Juan Carlos;Artes y Humanidades;243;212;139;169;232;269;616;1021
Universidades Públicas;Presencial;Rey Juan Carlos;Ciencias de la Salud;665;753;593;623;563;551;677;362
Universidades Públicas;Presencial;Rey Juan Carlos;Ciencias;166;167;166;151;116;98;93;81
Universidades Públicas;Presencial;Rovira i Virgili;Ciencias Sociales y Jurídicas;1270;1346;1207;1212;1364;1041;1372;1441
Universidades Públicas;Presencial;Rovira i Virgili;Ingeniería y Arquitectura;446;343;396;385;383;483;396;385
Universidades Públicas;Presencial;Rovira i Virgili;Artes y Humanidades;181;198;194;261;256;283;209;171
Universidades Públicas;Presencial;Rovira i Virgili;Ciencias de la Salud;679;666;633;602;532;346;475;361
Universidades Públicas;Presencial;Rovira i Virgili;Ciencias;175;174;166;160;266;259;283;256
Universidades Públicas;Presencial;Salamanca;Ciencias Sociales y Jurídicas;2595;2401;2764;3091;2667;3271;2552;2307
Universidades Públicas;Presencial;Salamanca;Ingeniería y Arquitectura;516;626;953;1072;1509;960;685;678
Universidades Públicas;Presencial;Salamanca;Artes y Humanidades;900;951;913;946;934;740;821;704
Universidades Públicas;Presencial;Salamanca;Ciencias de la Salud;1194;1132;1239;1405;1125;1649;776;729
Universidades Públicas;Presencial;Salamanca;Ciencias;458;499;475;492;590;467;493;414
Universidades Públicas;Presencial;Santiago de Compostela;Ciencias Sociales y Jurídicas;2005;1960;2190;2428;2341;2567;2248;2465
Universidades Públicas;Presencial;Santiago de Compostela;Ingeniería y Arquitectura;357;353;571;488;507;493;566;437
Universidades Públicas;Presencial;Santiago de Compostela;Artes y Humanidades;453;441;525;519;588;436;430;411
Universidades Públicas;Presencial;Santiago de Compostela;Ciencias de la Salud;1315;1337;1370;1299;1201;939;1038;1024
Universidades Públicas;Presencial;Santiago de Compostela;Ciencias;383;397;437;472;501;476;440;479
Universidades Públicas;Presencial;Sevilla;Ciencias Sociales y Jurídicas;4288;4713;5039;5371;4482;4536;4865;4073
Universidades Públicas;Presencial;Sevilla;Ingeniería y Arquitectura;2393;2505;2806;2384;2299;2152;2749;2236
Universidades Públicas;Presencial;Sevilla;Artes y Humanidades;906;925;900;1043;1032;835;767;662
Universidades Públicas;Presencial;Sevilla;Ciencias de la Salud;1842;1889;1832;1699;1587;920;1328;1202
Universidades Públicas;Presencial;Sevilla;Ciencias;563;576;571;603;603;448;394;408
Universidades Públicas;Presencial;València (Estudi General);Ciencias Sociales y Jurídicas;5794;5818;6321;6340;5685;5256;5716;5916
Universidades Públicas;Presencial;València (Estudi General);Ingeniería y Arquitectura;305;279;332;270;308;259;192;205
Universidades Públicas;Presencial;València (Estudi General);Artes y Humanidades;1017;954;980;1113;1074;746;725;739
Universidades Públicas;Presencial;València (Estudi General);Ciencias de la Salud;2212;2198;2175;2234;1637;1696;1577;1313
Universidades Públicas;Presencial;València (Estudi General);Ciencias;771;794;811;856;798;782;796;703
Universidades Públicas;Presencial;Valladolid;Ciencias Sociales y Jurídicas;2301;2317;2870;3558;2466;2604;2425;2222
Universidades Públicas;Presencial;Valladolid;Ingeniería y Arquitectura;1092;917;1596;1305;1275;1277;1371;1265
Universidades Públicas;Presencial;Valladolid;Artes y Humanidades;345;379;345;436;293;248;232;273
Universidades Públicas;Presencial;Valladolid;Ciencias de la Salud;619;610;631;560;289;516;502;402
Universidades Públicas;Presencial;Valladolid;Ciencias;209;234;249;247;137;165;185;165
Universidades Públicas;Presencial;Vigo;Ciencias Sociales y Jurídicas;1984;2002;2058;2182;2088;2030;2463;2165
Universidades Públicas;Presencial;Vigo;Ingeniería y Arquitectura;1276;1260;1345;1269;1140;1117;1292;1219
Universidades Públicas;Presencial;Vigo;Artes y Humanidades;358;339;407;414;454;349;374;311
Universidades Públicas;Presencial;Vigo;Ciencias de la Salud;253;269;253;272;199;214;338;279
Universidades Públicas;Presencial;Vigo;Ciencias;233;289;232;280;270;294;273;291
Universidades Públicas;Presencial;Zaragoza;Ciencias Sociales y Jurídicas;2829;2664;2762;3183;2826;3395;3177;2893
Universidades Públicas;Presencial;Zaragoza;Ingeniería y Arquitectura;1239;1075;1569;1406;1294;1302;1464;1187
Universidades Públicas;Presencial;Zaragoza;Artes y Humanidades;381;411;453;598;408;398;391;365
Universidades Públicas;Presencial;Zaragoza;Ciencias de la Salud;1024;1055;1016;1052;1027;1153;650;787
Universidades Públicas;Presencial;Zaragoza;Ciencias;495;445;460;505;391;395;449;433
Universidades Públicas;No Presencial;Nacional de Educación a Distancia;Ciencias Sociales y Jurídicas;4482;5640;5245;5442;5491;4663;4967;3695
Universidades Públicas;No Presencial;Nacional de Educación a Distancia;Ingeniería y Arquitectura;178;258;528;653;464;438;373;334
Universidades Públicas;No Presencial;Nacional de Educación a Distancia;Artes y Humanidades;1197;1277;1606;1435;1665;1325;1063;848
Universidades Públicas;No Presencial;Nacional de Educación a Distancia;Ciencias de la Salud;1514;1166;858;492;254;21;4;10
Universidades Públicas;No Presencial;Nacional de Educación a Distancia;Ciencias;192;255;451;405;359;343;273;216
Universidades Públicas;Especiales;Internacional de Andalucía;Ciencias Sociales y Jurídicas;70;53;55;63;63;75;29;29
Universidades Públicas;Especiales;Internacional de Andalucía;Ingeniería y Arquitectura;7;10;11;14;2;3;2;31
Universidades Públicas;Especiales;Internacional de Andalucía;Artes y Humanidades;19;18;15;13;19;18;1;2
Universidades Públicas;Especiales;Internacional de Andalucía;Ciencias de la Salud;36;34;35;29;38;20;11;37
Universidades Públicas;Especiales;Internacional de Andalucía;Ciencias;28;35;29;46;17;44;34;33
Universidades Públicas;Especiales;Internacional Menéndez Pelayo;Ciencias Sociales y Jurídicas;637;461;489;375;398;306;26;34
Universidades Públicas;Especiales;Internacional Menéndez Pelayo;Ingeniería y Arquitectura;9;9;0;0;0;0;0;0
Universidades Públicas;Especiales;Internacional Menéndez Pelayo;Artes y Humanidades;116;138;66;50;48;35;32;10
Universidades Públicas;Especiales;Internacional Menéndez Pelayo;Ciencias de la Salud;51;0;0;0;0;0;0;0
Universidades Públicas;Especiales;Internacional Menéndez Pelayo;Ciencias;13;28;23;43;77;85;70;103
